team,Drawing,Losing,Winning,Overall,performance_rank
Arsenal WFC,0.292,0.297,0.284,0.291,11.0
Aston Villa,0.325,0.296,0.406,0.3423333333333334,2.0
Birmingham City WFC,0.298,0.282,0.298,0.29266666666666663,9.0
Brighton & Hove Albion WFC,0.298,0.285,0.307,0.29666666666666663,8.0
Bristol City WFC,0.322,0.276,0.329,0.309,4.0
Chelsea FCW,0.273,0.323,0.295,0.297,7.0
Everton LFC,0.302,0.279,0.28,0.28700000000000003,14.0
Liverpool WFC,0.315,0.31,0.309,0.3113333333333333,3.0
Manchester City WFC,0.288,0.281,0.297,0.2886666666666667,12.5
Manchester United,0.285,0.325,0.308,0.306,5.0
Reading WFC,0.296,0.305,0.274,0.2916666666666667,10.0
Tottenham Hotspur Women,0.264,0.273,0.329,0.2886666666666667,12.5
West Ham United LFC,0.293,0.307,0.317,0.3056666666666667,6.0
Yeovil Town LFC,0.347,0.318,0.438,0.36766666666666664,1.0
