player,actions_count,total_xT,avg_efficiency_delta,avg_efficiency_ratio
Benedicte Håland,2,0.1359660160032187,0.06605550317818916,0.23349062620611782
Poppy Wilson,5,0.10307940335291431,0.04055159705071776,0.35290163341428593
Sophie Harris,21,1.013435519934217,0.04009521227478544,9999.990889886136
Liberty Piggott,1,-0.1025586092514768,0.030435963908953367,0.7711488282139247
Marie Hourihan,34,1.0415813101148297,0.028458686215056705,11924.964983517242
Zecira Musovic,2,0.071621615872576,0.028131009664296387,-4.853710275141168
Laura Hartley,6,0.1472433979100287,0.026935887425763652,7262.712898773891
Melisa Filis,12,-0.07457122456073689,0.026443013790328266,0.03274556205492646
Sophie Baggaley,561,16.128669432729723,0.023146057753833427,6496.713316148266
Maisy Collis,27,0.0589091820563129,0.01806989030464201,-2.066187982338357
Lucy Gillett,11,0.2705198442643877,0.014395671292900609,1269.9654498508125
Laura Madison Blindkilde Brown,2,0.021305092437953498,0.013913514769390995,0.23505605262912854
Anke Preuß,71,1.5338793034139924,0.012866573081843326,1840.5253105138695
Rebecca Leigh Spencer,326,6.74073464612551,0.012663184027769054,4845.8654204136865
Anne Moorhouse,123,2.344357082836328,0.012214413579956462,2064.3183959576577
Megan Walsh,540,12.127871362546434,0.011734931444490806,2721.4321882880727
Courtney Brosnan,165,3.3938685788930565,0.011340109266612976,2443.410163848336
Rachael Laws,81,1.621455449695828,0.010722279068680757,1112.8730234882073
Lisa Weiß,66,1.6490040216102282,0.009573872667159198,3969.227072286113
Chloe Morgan,5,0.077262073235418,0.007858104767287766,4271.9160979846265
Heather Payne,140,-0.5057697539891337,0.006327885119994403,-0.04940337677969747
Alicia Window,4,0.0101036376440362,0.006007256570329102,0.1420203194633622
Alexandra MacIver,367,6.834825122548258,0.005051945636039017,3775.8655348113543
Frances Kitching,26,0.3561901089123271,0.004921423021934939,-805.688890498309
Cecilie Fiskerstrand,82,1.45712516615068,0.004858732436843282,1246.291096703216
Hannah Hampton,458,5.52600593669907,0.00433988966740468,1066.6316682782278
Rut Hedvig Lindahl,105,1.9756086136213151,0.004227900805427416,3350.372901054648
Aurora Watten Mikalsen,30,0.4832806186781734,0.0041867324136134285,-501.95132919413027
Mackenzie Arnold,349,5.376776859878002,0.0037688161208948878,1606.8390555782353
Mary Alexandra Earps,452,6.508115980279257,0.00231032836871681,2061.886633331733
Millie Davies,69,0.35971566032683355,0.001750699310811171,0.62975981052601
Lauren Thomas,16,0.11340638973105971,0.0008558428257326202,-0.5509533593591127
Crystal Alyssia Dunn Soubrier,106,-0.20836076507683884,0.00018974238010423394,0.029124800213818164
Sari van Veenendaal,17,0.196164952149706,-0.00011808349658596805,-2.5076363703862765
Katie Robinson,212,-0.8200966084991813,-0.00029358647174441716,-0.5420400216757255
Destiney Toussaint,30,-0.07605854563972682,-0.0003300649720518135,-10.19495007083575
Carly Mitchell Telford,198,2.450252911731763,-0.0006311505711916973,298.81431143561485
Shannon Albuery,109,1.1487147693955122,-0.001088302953162308,0.27955810883828686
Grace Moloney,483,5.269549040893554,-0.0011073744205326612,414.135396869584
Emma Brownlie,251,-2.3805956601210005,-0.0012792423276834393,112.56740445925578
Loren Dykes,1341,4.099588749942519,-0.0013791784568239923,46.732984964605194
Filippa Wallén,34,-0.17281604752787358,-0.001605268837796911,3.6910843802050164
Sian Rogers,9,0.0907427453704663,-0.0017575798417346032,-3.1786382652128937
Ellen Jones,38,0.24029002745777062,-0.001990060302044514,-0.29562693554959646
Kirstie Levell,178,2.2156753703347665,-0.002602341185153504,527.196495238383
Ann-Katrin Berger,444,5.269733530824294,-0.002604595816871043,511.83201316417967
Lily Simkin,318,-5.568703824927001,-0.002617876831839948,109.4254476798126
Jessica Marie Wik,236,-3.6099540122179,-0.0028437481787207085,0.7574783186667761
Naomi Layzell,88,0.3352244287306366,-0.0033818082272544527,0.7016629216708286
Rachel Mclauchlan,317,-2.7175148930470145,-0.0035971189946188043,25.58203051879064
Janine Elizabeth Beckie,2329,-54.766076751196586,-0.0037613929307840294,14.313274070401024
Emma Bissell,254,0.2682738830073898,-0.00393897520088716,0.4534568225396556
Ashley Hodson,141,-0.790363346244837,-0.004085554794471926,0.27111871818746225
Jessica Naz,314,-0.8828732807506172,-0.004092728014610403,-1.1639845986173156
Stine Larsen,640,-1.8783298888896665,-0.004259941321677648,8.402711412425637
Jessica Carter,1322,-15.249268871210058,-0.004270186101166031,1.373733185465091
Jessica Anne Clarke,842,-7.84390244633298,-0.004723387852640009,0.5498095419335334
Cecilie Redisch Kvamme,1743,-25.58256851316292,-0.004995798263039942,-13.52430904736474
Faye Bryson,1070,-7.778615550954577,-0.005221309031768937,92.32927735829634
Natasha Harding,2839,-60.866363419280454,-0.005699892906274163,52.94655669888243
Kirsty Hanson,1055,-13.078612296028545,-0.005751967726006627,18.585230210054505
Chantelle Boye-Hlorkah,1087,-8.387632344375374,-0.005809404274321926,-0.090436592444933
Emily Murphy,305,-4.360319833081675,-0.0058846030094760774,0.6830490328860892
Hannah Jayne Blundell,2763,-34.20051547255276,-0.006083356628881818,49.283441876423694
Erin Simon,1231,-5.848304729341758,-0.0060924894888577715,0.11152255192524088
Janni Arnth-Jensen,316,-2.304597904158588,-0.006176020095398251,-1.1957943269865476
Asmita Ale,1120,0.029635822382199917,-0.006469053878360965,43.895227687042826
Bethan Roe,300,0.6233855027373169,-0.006551133451990913,0.6513321960959592
Karen Bardsley,70,0.9874449396035136,-0.0065995114834557144,568.8303291002002
Karima Benameur,8,0.0575374410654347,-0.006652694816806537,0.04561879867768889
Amy Goddard,354,0.31049823006073507,-0.00670822647193131,122.55452075663433
Lucia Leon,217,-0.7001084874666309,-0.007135840535261576,2.6046938141806892
Ellie Roebuck,715,6.832113009321972,-0.0072962457693982775,582.6166321571193
Leanne Kiernan,933,-1.2692991725976255,-0.007296855846531256,-0.7653475649561502
Elizabeth Arnott,59,-1.6080812443845924,-0.007523433677881124,-4.42227239322568
Maisy Barker,21,0.2969138695293161,-0.007602323870365841,0.481193254892412
Meaghan Sargeant,2164,9.837189331881913,-0.007796673869695112,250.50524978810677
Noelle Maritz,1052,-17.60972912866996,-0.00819739345880415,-0.2464538175703175
Vita van der Linden,18,-0.14005255353124518,-0.00820032003404109,0.28536922106200063
Kristine Leine,1839,-11.885157281701057,-0.008208972279063843,63.321340794885025
Esmee de Graaf,442,-7.952283771952294,-0.008212767402831023,-0.011531049441483077
Katrine Veje,753,2.7521975070066165,-0.008232089553411379,0.1262575068186858
Emma Rose Kelly,417,0.45707224264995355,-0.008314591375751038,135.30489268752154
Charlotte Buxton,177,0.6080853884424914,-0.008367964821988672,115.27689051730627
Harriet Scott,2649,-11.922149171315999,-0.008411287240326866,49.97513084801695
Leah Galton,1664,-2.456311486089555,-0.008666163059571208,8.963970712677433
Jessica Wooley,44,-1.3277057329681308,-0.008669199727110177,2.8743014744931568
Ashleigh Neville,1721,-8.17520356697934,-0.00872608948604972,43.87772921320181
Nicoline Sørensen,981,-9.118690414789018,-0.008782902607649124,0.019520961843764235
Florence Allen,755,2.2032140359663224,-0.008851351240514288,0.45314877568872636
Lydia Grace Yilkari Williams,211,2.662531415282365,-0.008896697359285506,41.44482267107976
Magdalena Lilly Eriksson,6123,54.60343123672086,-0.008961013555056043,23.59668520005271
Ingrid Moe Wold,1678,-15.386214416617706,-0.00897725546934708,0.5157456219624594
