player,Drawing,Losing,Winning,pressure_performance,total_actions
Abbey-Leigh Stringer,0.189,0.11,0.183,-0.073,1876
Abbi Grant,0.417,0.32,0.085,0.235,672
Abbie McManus,0.235,0.284,0.232,0.05199999999999996,3383
Abby Dahlkemper,0.283,0.493,0.34,0.15299999999999997,925
Abigail Harrison,0.211,0.169,0.194,-0.024999999999999994,974
Adelina Engman,0.093,0.955,0.228,0.727,258
Adriana Kristina Leon,0.254,0.292,0.144,0.148,1070
Adrienne Jordan,0.359,0.19,0.571,-0.38099999999999995,979
Aileen Whelan,0.317,0.287,0.235,0.05199999999999999,2755
Aimee Palmer,0.162,0.145,0.157,-0.01200000000000001,457
Alanna Stephanie Kennedy,0.092,0.191,0.352,-0.16099999999999998,1142
Alex Greenwood,0.348,0.535,0.352,0.18300000000000005,2628
Alexandra MacIver,0.309,0.658,0.292,0.36600000000000005,313
Alexandra Riley,0.366,-0.21,0.405,-0.615,248
Alisha Lehmann,0.238,0.243,0.18,0.063,1752
Amalie Vevle Eikeland,0.261,0.344,0.307,0.03699999999999998,1384
Amanda Nildén,0.241,0.207,0.087,0.12,251
Amber Gaylor,0.2,0.325,0.401,-0.07600000000000001,450
Amy Rodgers,0.2,0.257,0.361,-0.10399999999999998,502
Amy Turner,0.194,0.323,0.2,0.123,2046
Angela Addison,0.399,0.228,0.239,-0.010999999999999982,703
Angharad James,0.272,0.286,0.218,0.06799999999999998,3694
Anita Amma Ankyewah Asante,0.262,0.377,0.517,-0.14,926
Ann-Katrin Berger,0.025,0.793,0.275,0.518,398
Anna Filbey,0.091,0.237,0.45,-0.21300000000000002,844
Anna Patten,0.381,-0.369,0.509,-0.878,220
Anne-Marie Heatherson,0.208,0.201,-0.317,0.518,664
Aoife Mannion,0.219,0.221,0.321,-0.1,2693
Ashleigh Neville,0.349,0.354,0.256,0.09799999999999998,1669
Ashley Hodson,0.005,0.317,0.628,-0.311,136
Asmita Ale,0.371,0.218,0.356,-0.13799999999999998,1077
Bethan Roberts,0.482,0.373,0.306,0.067,254
Bethan Roe,0.388,0.512,0.477,0.03500000000000003,288
Bethany England,0.3,0.128,0.367,-0.239,1842
Bethany Mead,0.249,0.357,0.315,0.04199999999999998,3742
Bonnie Horwood,0.427,0.084,0.696,-0.612,803
Brianna Visalli,0.263,0.297,0.289,0.008000000000000007,1336
Brooke Chaplen,0.285,0.168,0.127,0.04100000000000001,1504
Brooke Hendrix,0.229,0.456,0.545,-0.08900000000000002,867
Caitlin Jade Foord,0.179,0.526,0.265,0.261,846
Carla Humphrey,0.283,0.16,0.202,-0.04200000000000001,2184
Carlotte Wubben-Moy,0.331,0.416,0.251,0.16499999999999998,1600
Carly Mitchell Telford,0.205,0.102,0.115,-0.013000000000000012,173
Caroline Siems,0.431,0.49,0.435,0.05499999999999999,793
Caroline Weir,0.287,0.269,0.271,-0.0020000000000000018,5286
Cecilie Redisch Kvamme,0.35,0.243,0.305,-0.062,1667
Chantelle Boye-Hlorkah,0.24,0.164,0.16,0.0040000000000000036,1020
Charlie Wellings,0.304,0.297,0.36,-0.063,2219
Charlotte Buxton,0.299,0.361,-0.457,0.8180000000000001,170
Charlotte Estcourt,0.249,0.141,0.382,-0.24100000000000002,230
Chloe Arthur,0.282,0.276,0.291,-0.014999999999999958,3058
Chloe Kelly,0.293,0.245,0.282,-0.03699999999999998,2601
Chloe Logarzo,0.24,0.235,0.079,0.15599999999999997,284
Chloe Mccarron,0.243,0.458,0.17,0.28800000000000003,131
Chloe Peplow,0.271,0.258,0.194,0.064,1666
Christen Annemarie Press,0.268,0.397,0.305,0.09200000000000003,459
Christie Murray,0.203,0.266,0.297,-0.030999999999999972,1771
Claire Emslie,0.255,0.336,0.266,0.07,1453
Claire Lauren Rafferty,0.449,0.43,0.312,0.118,897
Claudia Walker,0.165,0.338,0.198,0.14,1684
Connie Scofield,0.288,0.327,0.354,-0.02699999999999997,929
Courtney Brosnan,0.914,0.431,0.367,0.064,114
Courtney Sweetman-Kirk,0.323,0.282,0.134,0.14799999999999996,973
Dagný Brynjarsdóttir,0.252,0.642,0.129,0.513,380
Damaris Berta Egurrola Wienke,0.402,0.36,0.201,0.15899999999999997,409
Danielle Buet,0.308,0.238,0.349,-0.11099999999999999,2401
Danielle Carter,0.358,0.172,0.273,-0.10100000000000003,849
Danielle Turner,0.483,0.395,0.417,-0.021999999999999964,2902
Danielle van de Donk,0.334,0.434,0.23,0.204,3933
Danique Kerkdijk,0.183,0.176,0.246,-0.07,2102
Deanna Cooper,0.349,0.368,0.118,0.25,1722
Demi Stokes,0.326,0.31,0.345,-0.034999999999999976,3260
Denise O'Sullivan,0.228,0.216,1.287,-1.071,527
Diana Micaela Abreu de Sousa e Silva,0.452,0.261,0.231,0.03,324
Dominique Bruinenberg,0.127,0.205,0.149,0.055999999999999994,490
Dominique Johanna Anna Petrone Janssen,0.197,0.109,0.273,-0.16400000000000003,1822
Drew Spence,0.272,0.15,0.349,-0.19899999999999998,1696
Ebony Salmon,0.302,0.301,0.413,-0.11199999999999999,918
Elise Hughes,0.391,0.255,0.253,0.0020000000000000018,288
Elisha N''Dow,0.395,0.199,0.638,-0.439,728
Ella Franklin-Fraiture,0.459,0.305,0.176,0.129,658
Ella Jade Mastrantonio,0.303,0.174,-0.158,0.33199999999999996,615
Ella Rutherford,-0.001,0.245,0.353,-0.10799999999999998,748
Ella Toone,0.332,0.234,0.284,-0.04999999999999996,1912
Ellen White,0.254,0.391,0.304,0.08700000000000002,1248
Ellie Brazil,0.093,0.271,0.355,-0.08399999999999996,1654
Ellie Mason,0.307,0.346,0.474,-0.128,593
Ellie Roebuck,0.321,0.381,0.184,0.197,681
Emily Donovan,0.187,0.362,0.261,0.10099999999999998,360
Emily Louise van Egmond,0.229,0.277,0.461,-0.184,1245
Emily Murphy,0.294,0.296,0.872,-0.5760000000000001,291
Emily Simpkins,0.457,0.365,0.488,-0.123,702
Emily Syme,0.209,0.062,0.417,-0.355,439
Emma Bissell,0.168,0.5,0.471,0.029000000000000026,246
Emma Brownlie,0.201,0.297,0.653,-0.35600000000000004,239
Emma Follis,0.242,0.378,0.465,-0.08700000000000002,1275
Emma Harries,0.367,0.355,0.126,0.22899999999999998,248
Emma Mukandi,0.286,0.382,0.267,0.11499999999999999,2539
Emma Rose Kelly,0.323,0.156,0.216,-0.06,400
Emma Wilhelmina Koivisto,0.448,0.37,0.45,-0.08000000000000002,557
Erin Bloomfield,0.394,0.35,-0.016,0.366,152
Erin Cuthbert,0.291,0.435,0.311,0.124,3192
Erin Simon,0.276,0.28,0.311,-0.030999999999999972,1191
Esme Beth Morgan,0.37,0.316,0.342,-0.026000000000000023,2758
Esmee de Graaf,0.355,0.18,0.213,-0.033,424
Esther Morgan,0.263,0.263,-0.016,0.279,491
Fara Williams,0.255,0.27,0.226,0.04400000000000001,3555
Faye Bryson,0.401,0.28,0.424,-0.14399999999999996,1013
Felicity Gibbons,0.37,0.255,0.391,-0.136,2808
Fern Whelan,0.225,0.353,0.558,-0.20500000000000007,361
Florence Allen,0.436,0.249,0.534,-0.28500000000000003,730
Francesca Kirby,0.389,0.191,0.358,-0.16699999999999998,2093
