location_zone,shots_attempted,goals_scored,p_shot_to_goal
0,,,0.11561110443456316
1,,,0.11561110443456316
2,,,0.11561110443456316
3,,,0.11561110443456316
4,,,0.11561110443456316
5,,,0.11561110443456316
6,,,0.11561110443456316
7,,,0.11561110443456316
8,1.0,0.0,0.3333333333333333
9,,,0.11561110443456316
10,1.0,0.0,0.3333333333333333
11,2.0,2.0,0.75
12,,,0.11561110443456316
13,,,0.11561110443456316
14,,,0.11561110443456316
15,,,0.11561110443456316
16,,,0.11561110443456316
17,,,0.11561110443456316
18,,,0.11561110443456316
19,1.0,0.0,0.3333333333333333
20,12.0,0.0,0.07142857142857142
21,34.0,2.0,0.08333333333333333
22,45.0,3.0,0.0851063829787234
23,15.0,1.0,0.11764705882352941
24,,,0.11561110443456316
25,,,0.11561110443456316
26,,,0.11561110443456316
27,,,0.11561110443456316
28,,,0.11561110443456316
29,2.0,0.0,0.25
30,1.0,0.0,0.3333333333333333
31,2.0,0.0,0.25
32,92.0,2.0,0.031914893617021274
33,369.0,12.0,0.03504043126684636
34,507.0,19.0,0.03929273084479371
35,211.0,14.0,0.07042253521126761
36,,,0.11561110443456316
37,,,0.11561110443456316
38,,,0.11561110443456316
39,,,0.11561110443456316
40,,,0.11561110443456316
41,,,0.11561110443456316
42,3.0,0.0,0.2
43,8.0,0.0,0.1
44,182.0,6.0,0.03804347826086957
45,547.0,25.0,0.04735883424408015
46,969.0,109.0,0.11328527291452112
47,1017.0,215.0,0.21197252208047104
48,,,0.11561110443456316
49,,,0.11561110443456316
50,,,0.11561110443456316
51,,,0.11561110443456316
52,,,0.11561110443456316
53,2.0,0.0,0.25
54,1.0,0.0,0.3333333333333333
55,14.0,1.0,0.125
56,185.0,9.0,0.053475935828877004
57,587.0,30.0,0.05263157894736842
58,1039.0,169.0,0.1633045148895293
59,1079.0,258.0,0.23959296947271044
60,,,0.11561110443456316
61,,,0.11561110443456316
62,,,0.11561110443456316
63,,,0.11561110443456316
64,,,0.11561110443456316
65,1.0,0.0,0.3333333333333333
66,,,0.11561110443456316
67,5.0,0.0,0.14285714285714285
68,77.0,0.0,0.012658227848101266
69,346.0,11.0,0.034482758620689655
70,601.0,37.0,0.06301824212271974
71,250.0,20.0,0.08333333333333333
72,,,0.11561110443456316
73,,,0.11561110443456316
74,,,0.11561110443456316
75,,,0.11561110443456316
76,,,0.11561110443456316
77,,,0.11561110443456316
78,1.0,0.0,0.3333333333333333
79,,,0.11561110443456316
80,7.0,0.0,0.1111111111111111
81,33.0,1.0,0.05714285714285714
82,50.0,4.0,0.09615384615384616
83,14.0,5.0,0.375
84,,,0.11561110443456316
85,,,0.11561110443456316
86,,,0.11561110443456316
87,,,0.11561110443456316
88,,,0.11561110443456316
89,,,0.11561110443456316
90,2.0,1.0,0.5
91,,,0.11561110443456316
92,1.0,1.0,0.6666666666666666
93,2.0,2.0,0.75
94,1.0,1.0,0.6666666666666666
95,2.0,2.0,0.75
