team,actions_count,total_xT,avg_efficiency_delta,avg_efficiency_ratio
Bristol City WFC,26298,12.722244078937365,-0.012951040458707354,171.8295058273515
Aston Villa,11507,2.650506070574186,-0.013990587490184045,49.32203455550887
Liverpool WFC,19570,-7.717048776571782,-0.016292370391040055,20.698021192427106
Yeovil Town LFC,7693,-8.352564426085175,-0.014731099582363537,101.11943658011809
Brighton & Hove Albion WFC,33208,-11.392648188244676,-0.016126158975418553,76.79442618692197
Birmingham City WFC,35767,-25.545935320944103,-0.01612896805350626,47.95401525929852
Tottenham Hotspur Women,23026,-27.482713770682818,-0.016439397529315107,82.63052493701024
West Ham United LFC,35263,-29.215093261621472,-0.01593532825817694,73.37340841199277
Everton LFC,39023,-31.901522600468013,-0.016608265094620475,69.3682665710089
Manchester United,27161,-48.64580351449581,-0.018145555798267824,52.097337465774615
Manchester City WFC,60320,-120.75412213835844,-0.0204205340668044,21.811540690540394
Reading WFC,40348,-121.61183255602968,-0.01899130841036615,29.438747232090666
Arsenal WFC,60259,-124.77911994037008,-0.019942380219916806,17.431859898688845
Chelsea FCW,54362,-124.89738761815185,-0.02007970964486442,30.764258298007864
