team,Drawing,Losing,Winning
Arsenal WFC,0.292,0.297,0.284
Aston Villa,0.325,0.296,0.406
Birmingham City WFC,0.298,0.282,0.298
Brighton & Hove Albion WFC,0.298,0.285,0.307
Bristol City WFC,0.322,0.276,0.329
Chelsea FCW,0.273,0.323,0.295
Everton LFC,0.302,0.279,0.28
Liverpool WFC,0.315,0.31,0.309
Manchester City WFC,0.288,0.281,0.297
Manchester United,0.285,0.325,0.308
Reading WFC,0.296,0.305,0.274
Tottenham Hotspur Women,0.264,0.273,0.329
West Ham United LFC,0.293,0.307,0.317
Yeovil Town LFC,0.347,0.318,0.438
