match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name
19770,2018-12-02,13:30:00.000,England - FA Women's Super League,2018/2019,Manchester City WFC,Arsenal WFC,2,0,available,scheduled,2023-07-24T19:47:04.473942,2021-06-13T16:17:31.694,11,Regular Season,Academy Stadium ,Abigail Marriott,Nick Cushing,Joseph Montemurro,1.0.3,,,2018/2019
19820,2019-05-11,13:30:00.000,England - FA Women's Super League,2018/2019,Reading WFC,Chelsea FCW,2,3,available,scheduled,2023-07-24T19:39:36.370746,2021-06-13T16:17:31.694,22,Regular Season,Adams Park ,Abigail Byrne,Kelly Chambers,Emma Hayes,1.1.0,2,,2018/2019
19772,2018-12-02,15:00:00.000,England - FA Women's Super League,2018/2019,Chelsea FCW,Reading WFC,1,0,available,scheduled,2023-07-24T19:39:11.179954,2021-06-13T16:17:31.694,11,Regular Season,Kingsmeadow,Lucy Oliver,Emma Hayes,Kelly Chambers,1.0.3,,,2018/2019
19769,2018-12-02,15:00:00.000,England - FA Women's Super League,2018/2019,Brighton & Hove Albion WFC,West Ham United LFC,0,1,available,scheduled,2023-07-24T19:38:45.790537,2021-06-13T16:17:31.694,11,Regular Season,Broadfield Stadium,Kirsty Dowle,Hope Patricia Powell,Matt Beard,1.0.3,,,2018/2019
19746,2018-10-28,15:00:00.000,England - FA Women's Super League,2018/2019,Everton LFC,West Ham United LFC,1,2,available,scheduled,2023-07-24T19:38:32.419898,2021-06-13T16:17:31.694,7,Regular Season,Haig Avenue,Aaron Jackson,Andy Spence,Matt Beard,1.0.3,,,2018/2019
7298,2018-02-24,20:45:00.000,England - FA Women's Super League,2018/2019,Manchester City WFC,Chelsea FCW,2,2,available,scheduled,2022-05-27T12:02:24.272045,2021-06-13T16:17:31.694,0,Regular Season,Academy Stadium ,Darren England,Nick Cushing,Emma Hayes,1.0.2,,,2018/2019
19778,2018-12-09,13:15:00.000,England - FA Women's Super League,2018/2019,Manchester City WFC,Birmingham City WFC,1,0,available,scheduled,2021-04-28T19:48:01.166031,2021-06-13T16:17:31.694,12,Regular Season,Academy Stadium ,Rebecca Welch,Nick Cushing,Marc Skinner,1.0.3,,,2018/2019
19771,2018-12-02,15:00:00.000,England - FA Women's Super League,2018/2019,Birmingham City WFC,Yeovil Town LFC,2,1,available,scheduled,2021-04-28T19:48:01.153469,2021-06-13T16:17:31.694,11,Regular Season,	ARMCO Arena ,Jane Simms,Marc Skinner,Lee Burch,1.0.3,,,2018/2019
19736,2018-10-14,15:00:00.000,England - FA Women's Super League,2018/2019,Chelsea FCW,Arsenal WFC,0,5,available,scheduled,2023-07-24T19:40:54.610273,2021-06-13T16:17:31.694,5,Regular Season,Kingsmeadow,Sam Purkiss,Emma Hayes,Joseph Montemurro,1.0.3,,,2018/2019
19745,2018-10-28,15:00:00.000,England - FA Women's Super League,2018/2019,Brighton & Hove Albion WFC,Yeovil Town LFC,2,1,available,scheduled,2023-07-24T19:50:20.881595,2021-06-13T16:17:31.694,7,Regular Season,Broadfield Stadium,Jacob Miles,Hope Patricia Powell,Lee Burch,1.0.3,,,2018/2019
19730,2018-09-30,15:00:00.000,England - FA Women's Super League,2018/2019,Chelsea FCW,Brighton & Hove Albion WFC,2,0,available,scheduled,2023-07-24T19:45:45.933086,2021-06-13T16:17:31.694,4,Regular Season,Kingsmeadow,Abigail Marriott,Emma Hayes,Hope Patricia Powell,1.0.3,,,2018/2019
19794,2019-02-20,20:30:00.000,England - FA Women's Super League,2018/2019,Chelsea FCW,Bristol City WFC,6,0,available,scheduled,2023-07-24T19:41:31.309048,2021-06-13T16:17:31.694,17,Regular Season,Kingsmeadow,Tom Bishop,Emma Hayes,Tanya Oxtoby,1.0.3,,,2018/2019
19766,2018-11-25,13:30:00.000,England - FA Women's Super League,2018/2019,Arsenal WFC,Brighton & Hove Albion WFC,4,1,available,scheduled,2023-07-24T19:41:47.371344,2021-06-13T16:17:31.694,10,Regular Season,Meadow Park ,Rob Whitton,Joseph Montemurro,Hope Patricia Powell,1.0.3,,,2018/2019
19734,2018-10-14,15:00:00.000,England - FA Women's Super League,2018/2019,Everton LFC,Brighton & Hove Albion WFC,3,3,available,scheduled,2023-07-24T19:39:06.270757,2021-06-13T16:17:31.694,5,Regular Season,Haig Avenue,Steven Copeland,Andy Spence,Hope Patricia Powell,1.0.3,,,2018/2019
19717,2018-09-09,13:30:00.000,England - FA Women's Super League,2018/2019,Arsenal WFC,Liverpool WFC,5,0,available,scheduled,2023-07-24T19:45:27.524947,2021-06-13T16:17:31.694,1,Regular Season,Meadow Park ,Jason Richardson,Joseph Montemurro,Neil Redfearn,1.0.3,,,2018/2019
19718,2018-09-09,15:00:00.000,England - FA Women's Super League,2018/2019,Birmingham City WFC,Everton LFC,1,0,available,scheduled,2023-07-24T19:36:01.349396,2021-06-13T16:17:31.694,1,Regular Season,	ARMCO Arena ,James Bell,Marc Skinner,Andy Spence,1.0.3,,,2018/2019
19810,2019-04-21,15:00:00.000,England - FA Women's Super League,2018/2019,Liverpool WFC,Bristol City WFC,5,2,available,scheduled,2023-07-24T19:45:35.519688,2021-06-13T16:17:31.694,20,Regular Season,Prenton Park,Lucy Oliver,Victoria Jepson,Tanya Oxtoby,1.1.0,2,,2018/2019
19743,2018-10-21,13:30:00.000,England - FA Women's Super League,2018/2019,Birmingham City WFC,Chelsea FCW,0,0,available,scheduled,2021-04-28T07:08:31.946271,2021-06-13T16:17:31.694,6,Regular Season,	ARMCO Arena ,Amy Fearn,Marc Skinner,Emma Hayes,1.0.3,,,2018/2019
19740,2018-10-21,16:00:00.000,England - FA Women's Super League,2018/2019,West Ham United LFC,Liverpool WFC,0,1,available,scheduled,2023-07-24T19:36:46.501334,2021-06-13T16:17:31.694,6,Regular Season,The Rush Green Stadium,Jack Packman,Matt Beard,Chris Kirkland,1.0.3,,,2018/2019
19716,2018-09-09,15:00:00.000,England - FA Women's Super League,2018/2019,Reading WFC,Yeovil Town LFC,4,0,available,scheduled,2023-07-24T19:38:19.955143,2021-06-13T16:17:31.694,1,Regular Season,Adams Park ,Helen Conley,Kelly Chambers,Lee Burch,1.0.3,,,2018/2019
19800,2019-03-14,20:30:00.000,England - FA Women's Super League,2018/2019,Arsenal WFC,Bristol City WFC,4,0,available,scheduled,2020-08-24T14:34:34.401523,2021-06-13T16:17:31.694,18,Regular Season,Meadow Park ,Rob Whitton,Joseph Montemurro,Tanya Oxtoby,1.1.0,,,2018/2019
19739,2018-10-21,15:00:00.000,England - FA Women's Super League,2018/2019,Brighton & Hove Albion WFC,Manchester City WFC,0,6,available,scheduled,2023-07-24T19:41:00.049959,2021-06-13T16:17:31.694,6,Regular Season,Broadfield Stadium,Lucy Oliver,Hope Patricia Powell,Nick Cushing,1.0.3,,,2018/2019
